"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://ayrshirefencinggroup.com/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Fence Contractor Ayrshire | Ayrshire Fencing Group - Quality Fencing & Decking Services","87","782","Professional fence contractor in Ayrshire & Glasgow. Expert fencing, decking, gates, sheds & garden rooms installation. Fully qualified, insured, 13+ years experience. Free quotes available.","190","1158","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","Fence Contractor in Ayrshire","28","","0","13+","3","Looking For A Fence Contractor In Ayrshire?","43","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/","","","","","","135554","20971","20971","8.034","","2661","453","5.874","65.341","Normal","14.734","0","0","","156","39","0","100.000","36","23","0","7","4","0","","","","","97cb9a64fe6adbab2f9a758a088c7fbf","0.144","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/","2025-11-29 23:32:13"
"https://ayrshirefencinggroup.com/project/decking-project-six","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Composite Decking Project Ayrshire | Ayrshire Fencing Group","59","543","Explore our composite decking project in Ayrshire. Low-maintenance decking installation demonstrating durability and modern design solutions.","141","890","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/project/decking-project-six","","","","","","29727","7645","7645","2.929","","107","25","4.280","69.661","Normal","2.605","1","1","","3","3","0","7.690","13","5","0","2","2","0","","","","","ab38a3d9704f81cd67c3295dd5a3e8a3","0.320","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/project/decking-project-six","2025-11-29 23:32:13"
"https://ayrshirefencinggroup.com/service/gates","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Gate Installation Ayrshire | Garden & Security Gates | Ayrshire Fencing Group","77","678","Gate installation services in Ayrshire. Garden gates, security gates, and custom solutions. Professional installation, quality materials, free quotes.","150","892","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/service/gates","","","","","","29976","7678","7678","2.941","","107","25","4.280","69.661","Normal","2.582","1","1","","10","8","0","20.510","13","5","0","2","2","0","","","","","70c43e384263009df1b9926882f49ed8","0.325","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/service/gates","2025-11-29 23:32:13"
"https://ayrshirefencinggroup.com/project/decking-project-four","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Decking Installation Project Ayrshire | Ayrshire Fencing Group","62","545","Discover our decking installation project in Ayrshire. Professional timber decking transforming outdoor spaces with quality materials and expert installation.","158","961","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/project/decking-project-four","","","","","","29795","7642","7642","2.928","","107","25","4.280","69.661","Normal","2.599","1","1","","3","3","0","7.690","13","5","0","2","2","0","","","","","e9e221872126a7437357587d097f9192","0.307","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/project/decking-project-four","2025-11-29 23:32:13"
"https://ayrshirefencinggroup.com/projects","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Our Projects - Ayrshire Fencing Group | Completed Fencing & Decking Projects","76","694","View our completed fencing and decking projects in Ayrshire. Professional installations showcasing quality workmanship, expert craftsmanship, and beautiful results.","164","1023","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","Our projects","12","","0","Wooden Gate and Fencing","23","Fencing Project Two","19","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/projects","","","","","","44878","8581","8581","3.287","","137","40","3.425","66.887","Normal","2.214","1","0","","78","39","0","100.000","19","11","0","2","2","0","","","","","b49e53b1a004181d2b710ec85935c7b5","0.342","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/projects","2025-11-29 23:32:14"
"https://ayrshirefencinggroup.com/project/wooden-gate-and-fencing","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Wooden Gate and Fencing Project Ayrshire | Ayrshire Fencing Group","65","603","View our completed wooden gate and fencing project in Ayrshire. Professional installation showcasing quality craftsmanship and durable timber solutions.","152","956","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/project/wooden-gate-and-fencing","","","","","","29806","7648","7648","2.930","","107","25","4.280","69.661","Normal","2.598","1","1","","3","3","0","7.690","13","5","0","2","2","0","","","","","eaecdff99758f388925946cb6cdb319f","0.319","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/project/wooden-gate-and-fencing","2025-11-29 23:32:14"
"https://ayrshirefencinggroup.com/service/garden-rooms","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Garden Rooms Ayrshire | Professional Installation | Ayrshire Fencing Group","74","667","Garden room installation in Ayrshire & Glasgow. Professional construction for versatile spaces. Expert installation, free quotes, 13+ years experience.","151","918","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/service/garden-rooms","","","","","","30017","7682","7682","2.943","","107","25","4.280","69.661","Normal","2.579","1","1","","8","8","0","20.510","13","5","0","2","2","0","","","","","d224897818f9fb18d3ee920b8f933a48","0.289","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/service/garden-rooms","2025-11-29 23:32:14"
"https://ayrshirefencinggroup.com/project/decking-project-five","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Timber Decking Project Ayrshire | Ayrshire Fencing Group","56","509","View our timber decking project in Ayrshire. Premium decking installation showcasing natural wood beauty and professional craftsmanship.","136","864","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/project/decking-project-five","","","","","","29711","7653","7653","2.932","","107","25","4.280","69.661","Normal","2.606","1","1","","3","3","0","7.690","13","5","0","2","2","0","","","","","53ce30791089cbae3d0b6dedd175f1dc","0.313","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/project/decking-project-five","2025-11-29 23:32:14"
"https://ayrshirefencinggroup.com/service/fencing","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Fence Installation Ayrshire | Professional Fencing Services | Ayrshire Fencing Group","84","743","Professional fence installation in Ayrshire & Glasgow. Expert contractors, 13+ years experience. Quality materials, free quotes, fully insured.","143","858","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/service/fencing","","","","","","29989","7661","7661","2.935","","107","25","4.280","69.661","Normal","2.581","1","1","","10","8","0","20.510","13","5","0","2","2","0","","","","","fb7f98bb973b2da14806fc1090df937a","0.285","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/service/fencing","2025-11-29 23:32:14"
"https://ayrshirefencinggroup.com/contact","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Contact Us - Ayrshire Fencing Group | Get Your Free Quote Today","63","577","Contact Ayrshire Fencing Group for your fencing and decking needs. Get a free quote today. Serving Ayrshire and Glasgow. Call 07926 592704 or fill out our contact form.","168","1047","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","We're here to help!","19","","0","We're here for all your fencing and decking needs","49","Visit our location","18","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/contact","","","","","","43226","9214","9214","3.530","","200","49","4.082","66.063","Normal","3.351","1","0","","164","39","0","100.000","12","5","0","2","2","0","","","","","f9bebf37239a7027a303050fb046c8c3","0.287","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/contact","2025-11-29 23:32:14"
