"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://contractorwebsitetemplate.com/","text/html; charset=UTF-8","200","OK","Indexable","","(Service) In (City & Area) | (Business Name)","44","387","Experience top-tier (Service) In (City & Area) services with (Business Name). Our expert team (Provides the Service) in a great way.","132","806","","0","We Are The Best (Service-GBP Primary Category) In (City)","56","Looking For A (Service Provided) In (City or Area)?","51","Welcome to (Business Name) We Make Are Awesome At (Service-GBP Primary Category) In (Area)","90","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://contractorwebsitetemplate.com/","","","","","","206424","30150","30150","11.550","","1035","232","4.461","41.036","Hard","4.539","0","0","","44","40","0","100.000","61","44","0","9","4","0","","","","","bfdd05470371c9b54da543e073c4adc2","0.192","","","","","en-US","1.1","","","","","","https://contractorwebsitetemplate.com/","2025-11-28 22:06:10"
"https://contractorwebsitetemplate.com/contact/","text/html; charset=UTF-8","200","OK","Indexable","","Contact (Business Name) to (Provide Service)","44","409","Contact (Business Name) simple phone call or filling out our email form here online. Get in touch with us today!","112","686","","0","Contact Us","10","How Our (Services) Process Works (What Customer Can Expect)","59","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://contractorwebsitetemplate.com/contact/","","","","","","122647","22616","22616","8.664","","282","85","3.318","52.268","Fairly Hard","2.426","1","1","","42","40","0","100.000","47","44","0","5","4","0","","","","","9da839abab6d9cda1c4fbe2f11ea332d","0.178","","","","","en-US","1.1","","","","","","https://contractorwebsitetemplate.com/contact/","2025-11-28 22:06:11"
"https://contractorwebsitetemplate.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.33.2","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","214","214","214","0.082","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.494","Sun, 23 Nov 2025 21:31:20 GMT","","","","","1.1","","","","","","https://contractorwebsitetemplate.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.33.2","2025-11-28 22:06:11"
"https://contractorwebsitetemplate.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor.js?ver=3.7.6","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","5998","5998","5998","2.298","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.502","Sun, 23 Nov 2025 21:31:26 GMT","","","","","1.1","","","","","","https://contractorwebsitetemplate.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor.js?ver=3.7.6","2025-11-28 22:06:11"
"https://contractorwebsitetemplate.com/wp-content/themes/hello-elementor/assets/js/hello-frontend.js?ver=3.4.5","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","549","549","549","0.210","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.169","Mon, 27 Oct 2025 21:28:28 GMT","","","","","1.1","","","","","","https://contractorwebsitetemplate.com/wp-content/themes/hello-elementor/assets/js/hello-frontend.js?ver=3.4.5","2025-11-28 22:06:11"
"https://contractorwebsitetemplate.com/google-business-category-2/","text/html; charset=UTF-8","200","OK","Indexable","","(Service GBP Category-2) + (Service Area) | (Business Name)","59","540","The best (Service GBP Category-2) in (Service Area) are just a call away. Providing (services in the industry the contractor services.)","135","812","","0","(Service/GBP Secondary Category-2) in (Service Area)","52","Need Expert (Service/GBP Secondary Category-2) In (The Service Area)?","69","We Are The (Business Name) Offering (Service/GBP Secondary Category-2) In (Service Area)","88","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://contractorwebsitetemplate.com/google-business-category-2/","","","","","","233010","33921","33921","12.994","","884","199","4.442","42.696","Hard","3.435","1","1","","50","40","0","100.000","59","44","0","7","5","0","","","","","9172018c0f53cd7fb2d267ba23afca11","0.503","","","","","en-US","1.1","","","","","","https://contractorwebsitetemplate.com/google-business-category-2/","2025-11-28 22:06:11"
"https://contractorwebsitetemplate.com/google-business-category-3/page-2-sub-gbp-category-3/","text/html; charset=UTF-8","200","OK","Indexable","","(Sub-Service/Under GBP Category-3 Page 2) + (Service Area)","58","538","Discover (Service Area) top (Sub-Service/Under GBP Category-3 Page 2). Our expert team offers on-site work, custom solutions, & craftsmanship.","142","899","","0","(Sub-Service/Sub-GBP-Category-3-Page-2) in (Service Area)","57","Need Expert (Sub-Service/Sub-GBP-Category-3-Page-2) In (The Service Area)?","74","We Are The (Business Name) Offering (Sub-Service/Sub-GBP-Category-3-Page-2) In (Service Area)","93","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://contractorwebsitetemplate.com/google-business-category-3/page-2-sub-gbp-category-3/","","","","","","221269","33465","33465","12.820","","868","198","4.384","40.203","Hard","3.674","1","2","","44","40","0","100.000","48","44","0","7","5","0","","","","","ca4fed58697e93cd72d502fdcec32d73","0.711","","","","","en-US","1.1","","","","","","https://contractorwebsitetemplate.com/google-business-category-3/page-2-sub-gbp-category-3/","2025-11-28 22:06:11"
"https://contractorwebsitetemplate.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.33.2","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1031","1031","1031","0.395","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.452","Sun, 23 Nov 2025 21:31:20 GMT","","","","","1.1","","","","","","https://contractorwebsitetemplate.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.33.2","2025-11-28 22:06:11"
"https://contractorwebsitetemplate.com/wp-content/uploads/elementor/css/post-17.css?ver=1763933489","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","615","615","615","0.236","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.159","Sun, 23 Nov 2025 21:31:29 GMT","","","","","1.1","","","","","","https://contractorwebsitetemplate.com/wp-content/uploads/elementor/css/post-17.css?ver=1763933489","2025-11-28 22:06:11"
"https://contractorwebsitetemplate.com/wp-content/plugins/metronet-profile-picture/dist/blocks.style.build.css?ver=2.6.3","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","3267","3267","3267","1.252","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.152","Thu, 18 Jul 2024 20:39:20 GMT","","","","","1.1","","","","","","https://contractorwebsitetemplate.com/wp-content/plugins/metronet-profile-picture/dist/blocks.style.build.css?ver=2.6.3","2025-11-28 22:06:12"
